benefit 益处，使收益
program 计划，方案 
average 平均的，平均数
link 平均为
relationship 关系，关联
pressure 压力，强迫
professional 职业的，职业选手
career 职业，履历
focus 集中，（使）聚焦
decline 谢绝，减少，降低 
reduce 缩小，减少 
lower 较低的，下级的 
demand 要求，需要
opportunity 机会
identify 认出，识别 
issue 议题，问题，担忧
environment 环境 
potential 潜在的，潜能 
evidence 证据，证明
effect 影响
various 各种不同的
data 数据，资料 
involve 包含，涉及 
individual 个体
responsible 负有责任的 
essential 极其重要的 
promote 提升，促进
resource 资源 
increasingly 不断增加的
purchase 购买
maintain 维持，赡养
range 范围，一系列
performance 演出，履行，表现
imply 暗示，暗指
amount 达到，数额，程度
contribute 捐献，造成
factor 因素，要素 ）
consumer  消费者
financial 金融的，财务的
ignore 不顾，忽视
approach 接近，对付，处理
shift 转移，改变
economic 经济学的
respect 尊敬，敬意
limit 限制，界限 
consequence 结果，重要性
current 当前的，现行的
highly 非常，高水平地
suffer 遭受，忍受 
appeal 呼吁，有吸引力
participate 参与，参加
responsibility 责任，职责
detail 细节，详情 
online 在线的，联网的
invest 投资，授予
investment 投资额，投入
critical 批判的，关键的
unique 独特的 
rate 速度，比率 
overseas 在（向）海外
particularly 特别，尤其
security 保障，安全工作
employee 受雇者
advanced 高级的，先进的
effective 有效的
finding 研究结果
solution 解答，解决办法 
scientific 科学的
assignment 任务 
perform 履行，执行
digital 数码的
