dwell 居住，栖息
chaos 混乱，紊乱
predator 捕食者
sharply 急剧的（地）
obligated 有义务的
tag 标签
configuration 配置，结构
dedicate 致力，献身
hinder 阻碍
monitor 监控，班长
tempt 诱惑，引起
underlying 潜在的，在下面的
snap 突然折断
pediatrician 儿科医生
alleviate 减轻，缓和
endure 忍耐
refrain 节制，克制，抑制
intrude 闯入，侵入，侵扰
pasture 牧场，牧草，放牧
ultimately 最后，根本，基本上
diversity 多样性，差异
intellectual 智力的，聪明的
grasp 抓住，理解
legacy 遗产，遗赠
obscure 模糊的
obsess 使痴迷
spider 蜘蛛
tablet 药片，平板电脑
collaboration 合作
cater 迎合，满足需要
redundant 多余的
butt 烟头，笑柄
herd 兽群，放牧人
devise 设计，想出
primarily 首先，主要地
retort 反驳，顶嘴
testimony 证词，证据
session 会议
deplete 耗尽
renovate 更新，修复
arousal 唤起，觉醒
revelation 启示，揭露，出乎意料的事
infinite 无限的，极大的
dispute 辩论，怀疑，争论
inspire 使产生创作灵感
proclamation 声明，公告
reputed 据说的，所谓的
rest 剩余的
versatile 多才多艺的，多种用途的
rectify 改正
trait 特点
tactics 策略
sensible 明智的
faculty 科，系，全体教员
elementary 基本的，元素的
irrational 不合理的
amass 积聚，积累
casual 临时的，短期的
exaggerate 夸大
extravagant 奢侈的
precious 珍贵的
sphere 范围，球体
venture 敢于冒险
curriculum 课程
prestigious 有名望的
reverse 背面，相反
alumni 校友
crystal 结晶，水晶，透明的
presumably 大概
antibiotics 抗生素
prescription 药方，惯例
entail 使需要，继承，承担
devastate 毁灭，毁坏
retail 零售，转述
paste 张贴
embark 从事，着手
halt 停止，休息，犹豫
reduction 减少
unchecked 未受阻止，未受抑制
untouched 未受影响
ironically 讽刺地
default 拖欠，不履行，违约
trigger 起因
confession 坦白，忏悔
brows 眉毛
procrastination 拖延
compel 强迫
spark 火花
extract 提取，取出，摘录
brew 酿造
potent 有效的，强有力的
ritual 仪式，礼节性的
moist 潮湿的
grace 优雅，魅力，慈悲
virtually 事实上
estate 财产
infrastructure 基础设施
stocks 储备量
fraction 部分，小部分
ridicule 嘲笑，愚弄
plunge 投入，跳进
scandal 丑闻
futile 徒劳的，无用的
implement 实施，实现
executive 行政的
confrontation 对抗
perish 使麻木，毁坏
deposit 存款，押金，定金
evolve 进化，发展
stripe 条纹
strip 剥夺
dedication 奉献
contempt 歧视
exploit 开发
flourish 兴旺，茂盛
assert 维护，坚持，断言
overlay 覆盖
surge 汹涌，大浪
interactive 交互式的
bleak 阴冷的，荒凉的
considerably 大幅度
finite 有限的
myth 神话
sustained 持续的
substitution 更替
escalating 增强
graver 雕刻师
provoking 刺激的
enumerate 列举
depict 描述
surplus 剩余
bulk 体积，大多数
solemn 庄严的
oath 誓言
